GexfID,Title,IMDB_id,ReleaseDate,Slug,WeightedDegree,Modularity,PathLength,Diameter,ClusteringCoefficient,ConnectedComponents,Density,Edges,Characters,rating
850,New Moon,tt1259571,2009,New-Moon,11.707,0.339,1.836,3,0.734,3,0.162,313,41,4.6
851,Twin Peaks,tt0098936,1990,Twin-Peaks,5.938,0.568,2.711,5,0.582,4,0.074,231,64,8.9
852,Dead Ringers,tt0094964,1988,Dead-Ringers,7.13,0.386,2.247,5,0.597,2,0.096,220,46,7.3
853,Two for the Money,tt0417217,2005,Two-for-the-Money,8.356,0.275,1.889,3,0.693,4,0.111,231,41,6.2
854,U Turn,tt0120399,1997,U-Turn,8.3,0.29,1.726,2,0.712,1,0.274,107,20,6.8
855,Unbreakable,tt0217869,2000,Unbreakable,4.647,0.382,2.146,4,0.482,3,0.112,91,34,7.2
857,Up,tt1049413,2009,Up,9.913,0.269,2.206,4,0.536,1,0.206,149,19,8.3
858,Up in the Air,tt1193138,2009,Up-in-the-Air,6.5,0.342,1.963,3,0.481,2,0.124,125,28,7.4
860,V for Vendetta,tt0434409,2006,V-for-Vendetta,6.075,0.521,2.649,5,0.695,5,0.081,177,51,8.2
861,Valkyrie,tt0985699,2008,Valkyrie,6.783,0.417,2.494,6,0.592,2,0.098,185,44,7.1
862,Vanilla Sky,tt0259711,2001,Vanilla-Sky,7.133,0.302,1.83,2,0.794,2,0.159,119,24,6.9
863,The Verdict,tt0084855,1982,The-Verdict,8.667,0.265,2.043,4,0.745,1,0.132,204,38,7.8
865,Very Bad Things,tt0124198,1998,Very-Bad-Things,14.5,0.209,1.829,4,0.745,5,0.192,284,26,6.3
867,Virtuosity,tt0114857,1995,Virtuosity,6.596,0.321,2.163,4,0.482,9,0.084,198,44,5.5
869,Wag the Dog,tt0120885,1997,Wag-the-Dog,12.25,0.263,1.991,4,0.811,2,0.138,460,61,7.1
870,A Walk to Remember,tt0281358,2002,A-Walk-to-Remember,11.7,0.238,1.816,3,0.645,1,0.221,170,20,7.4
871,Walking Tall,tt0351977,2004,Walking-Tall,9.744,0.406,1.914,4,0.75,1,0.2,213,37,6.2
872,Wall Street,tt0094291,1987,Wall-Street,9.164,0.433,2.067,4,0.68,3,0.109,301,55,7.4
873,WALL-E,tt0910970,2008,WALL-E,14.757,0.187,1.686,3,0.697,4,0.309,139,18,5.8
874,Wanted,tt0493464,2008,Wanted,5.486,0.4,1.803,2,0.658,6,0.103,109,31,6.7
875,War of the Worlds,tt0407304,2005,War-of-the-Worlds,10.71,0.299,1.755,2,0.868,1,0.245,190,30,6.5
876,Warm Springs,tt0423510,2005,Warm-Springs,10.912,0.336,1.95,3,0.69,5,0.127,385,53,7.7
877,Watchmen,tt0409459,2009,Watchmen,6.84,0.493,2.569,5,0.701,4,0.063,288,72,7.6
878,We Own the Night,tt0498399,2007,We-Own-the-Night,10.355,0.268,1.989,4,0.701,5,0.111,342,50,6.9
879,What About Bob?,tt0103241,1991,What-About-Bob?,10.308,0.428,2.137,3,0.688,2,0.101,343,50,7
880,What Lies Beneath,tt0161081,2000,What-Lies-Beneath,7,0.209,1.791,2,0.616,1,0.209,87,18,6.6
881,When a Stranger Calls,tt0455857,2006,When-a-Stranger-Calls,6.81,0.457,2.329,4,0.653,2,0.136,125,38,5
883,While She Was Out,tt0887971,2008,While-She-Was-Out,7.789,0.319,1.813,3,0.653,1,0.246,93,18,4.8
884,White Christmas,tt0047673,1954,White-Christmas,13.724,0.233,1.759,3,0.822,1,0.296,243,28,7.6
887,White Squall,tt0118158,1996,White-Squall,30.261,0.181,1.775,3,0.752,1,0.299,906,43,6.6
888,Whiteout,tt0365929,2009,Whiteout,8.88,0.242,1.783,2,0.769,1,0.217,136,19,5.5
889,Who Framed Roger Rabbit,tt0096438,1988,Who-Framed-Roger-Rabbit,7.913,0.399,1.967,4,0.774,4,0.133,207,41,7.7
891,Wild at Heart,tt0100935,1990,Wild-at-Heart,6.356,0.425,2.437,5,0.614,5,0.085,180,45,7.2
892,The Wild Bunch,tt0065214,1969,The-Wild-Bunch,26.667,0.225,1.744,3,0.83,2,0.25,636,42,8
893,Where the Wild Things Are,tt0386117,2009,Where-the-Wild-Things-Are,10.267,0.278,1.968,4,0.636,3,0.202,208,30,6.8
895,Wild Wild West,tt0120891,1999,Wild-Wild-West,10.333,0.286,2.037,4,0.626,3,0.177,207,28,4.8
896,Willow,tt0096446,1988,Willow,11.61,0.396,2.071,4,0.74,2,0.159,308,40,7.3
899,Witness,tt0090329,1985,Witness,11.963,0.287,2.026,5,0.632,7,0.161,219,38,7.4
901,Wonder Boys,tt0185014,2000,Wonder-Boys,11.586,0.274,1.788,2,0.719,1,0.212,225,29,7.4
902,The Woodsman,tt0361127,2004,The-Woodsman,5.111,0.29,1.857,3,0.535,4,0.163,63,16,7.2
904,The Wrestler,tt1125849,2008,The-Wrestler,3.643,0.421,2.061,4,0.443,11,0.055,115,50,7.9
905,The X Files,tt0120902,1998,The-X-Files,5.077,0.419,2.38,5,0.477,3,0.126,81,24,8.7
906,X-Men,tt0120903,2000,X-Men,10,0.238,1.857,4,0.676,2,0.262,167,24,7.4
907,X-Men Origins: Wolverine,tt0458525,2009,X-Men-Origins:-Wolverine,5.333,0.431,2.493,6,0.503,4,0.079,138,41,6.7
908,xXx,tt0295701,2002,xXx,6.75,0.346,1.872,3,0.623,6,0.121,131,26,5.8
910,Yes Man,tt1068680,2008,Yes-Man,9.143,0.351,1.899,2,0.729,2,0.097,308,51,6.8
911,You Can Count on Me,tt0203230,2000,You-Can-Count-on-Me,11.4,0.275,1.752,3,0.583,4,0.211,153,18,7.7
913,Youth in Revolt,tt0403702,2009,Youth-in-Revolt,11,0.287,1.916,4,0.64,2,0.145,276,34,6.5
914,Zerophilia,tt0421090,2005,Zerophilia,13.625,0.101,1.604,3,0.557,3,0.367,150,14,6.3
